bike_name,brand,year,fuel_type,kms_driven,engine_capacity_cc,price_usd
Honda Activa 6G,Honda,2019,Petrol,25408,125,490.00
Royal Enfield Bullet 350,Royal Enfield,2022,Petrol,66453,312,2583.00
Ola S1 Air,Ola,2015,Electric,17133,0,465.00
Hero Xpulse 200,Hero,2018,Petrol,33497,250,1012.00
Harley-Davidson Fat Boy,Harley-Davidson,2020,Petrol,32600,1340,10329.00
Hero Splendor Plus,Hero,2022,Petrol,17659,125,599.00
Kawasaki Ninja ZX-10R,Kawasaki,2023,Petrol,52363,1000,13058.00
Yamaha YZF-R3,Yamaha,2022,Petrol,53236,1340,11748.00
Honda Activa 6G,Honda,2018,Petrol,51553,110,431.00
Yamaha MT-15 V2,Yamaha,2020,Petrol,15539,160,1012.00
KTM Adventure 390,KTM,2019,Petrol,17222,350,2185.00
Hero Splendor Plus,Hero,2019,Petrol,67091,125,359.00
Kawasaki Ninja 300,Kawasaki,2015,Petrol,13004,300,1205.00
Royal Enfield Meteor 350,Royal Enfield,2018,Petrol,62439,399,1508.00
KTM Duke 200,KTM,2019,Petrol,43868,250,1080.00
Ola S1 Pro Gen 2,Ola,2020,Electric,9302,0,835.00
Ather 450X Gen 3,Ather,2015,Electric,14927,0,489.00
Yamaha MT-15 V2,Yamaha,2019,Petrol,62524,150,632.00
Yamaha MT-15 V2,Yamaha,2020,Petrol,41198,160,774.00
Ather 450S,Ather,2022,Electric,13707,0,1228.00
Suzuki Burgman Street,Suzuki,2023,Petrol,49204,1000,13258.00
TVS Radeon,TVS,2024,Petrol,12099,1340,16108.00
Suzuki Hayabusa,Suzuki,2022,Petrol,2978,1000,13855.00
Ola S1 Air,Ola,2021,Electric,14500,0,1111.00
Yamaha FZ S V3,Yamaha,2023,Petrol,23432,155,1113.00
Ather 450S,Ather,2017,Electric,13479,0,712.00
Kawasaki Ninja 300,Kawasaki,2018,Petrol,13995,373,1882.00
Royal Enfield Bullet 350,Royal Enfield,2019,Petrol,20197,312,2071.00
Harley-Davidson Street 750,Harley-Davidson,2018,Petrol,26692,883,3955.00
Honda Hness CB350,Honda,2022,Petrol,25563,350,2876.00
Ola S1 Air,Ola,2018,Electric,13835,0,716.00
KTM Duke 200,KTM,2021,Petrol,4080,200,1439.00
Ola S1 Air,Ola,2022,Electric,1202,0,1150.00
Ola S1 Pro Gen 2,Ola,2020,Electric,16885,0,853.00
Yamaha YZF-R15 V4,Yamaha,2018,Petrol,66859,160,546.00
Hero Glamour,Hero,2021,Petrol,16970,1000,12212.00
Harley-Davidson Fat Boy,Harley-Davidson,2017,Petrol,55963,1000,5787.00
Bajaj Dominar 400,Bajaj,2019,Petrol,45066,1000,8468.00
KTM RC 200,KTM,2020,Petrol,5776,250,1441.00
KTM RC 200,KTM,2020,Petrol,50597,250,1183.00
Ola S1 Air,Ola,2022,Electric,9562,0,1109.00
Royal Enfield Himalayan 411,Royal Enfield,2016,Petrol,33232,1000,5771.00
TVS Apache RR 310,TVS,2018,Petrol,43442,350,1620.00
Suzuki Access 125,Suzuki,2022,Petrol,36528,110,553.00
KTM Duke 390,KTM,2015,Petrol,9946,399,1157.00
Ola S1 Air,Ola,2021,Electric,2425,0,1059.00
Ather 450S,Ather,2020,Electric,4466,0,1026.00
Ola S1 Pro Gen 2,Ola,2020,Electric,8969,0,1011.00
Yamaha YZF-R15 V4,Yamaha,2022,Petrol,6234,150,1247.00
Honda Activa 6G,Honda,2021,Petrol,45321,110,563.00
TVS Apache RR 310,TVS,2015,Petrol,39237,350,1241.00
KTM RC 390,KTM,2016,Petrol,68782,300,1282.00
Yamaha FZ S V3,Yamaha,2017,Petrol,8145,155,744.00
Bajaj Platina 110,Bajaj,2020,Petrol,45692,125,510.00
Bajaj Platina 110,Bajaj,2020,Petrol,25633,110,500.00
Hero Splendor Plus,Hero,2024,Petrol,14517,110,704.00
Yamaha YZF-R3,Yamaha,2015,Petrol,68498,1340,5751.00
Honda Hornet 2.0,Honda,2016,Petrol,39454,1000,5691.00
TVS Ntorq 125,TVS,2020,Petrol,65337,110,529.00
Ather 450X Gen 3,Ather,2022,Electric,8419,0,1204.00
TVS Jupiter,TVS,2019,Petrol,49404,125,301.00
Kawasaki Z900,Kawasaki,2017,Petrol,54201,948,2770.00
Harley-Davidson Street 750,Harley-Davidson,2016,Petrol,66141,883,2871.00
Harley-Davidson Iron 883,Harley-Davidson,2022,Petrol,18635,883,6702.00
Royal Enfield Bullet 350,Royal Enfield,2021,Petrol,15910,399,2656.00
Bajaj Pulsar 150,Bajaj,2020,Petrol,35131,160,847.00
Suzuki Hayabusa,Suzuki,2021,Petrol,30891,1000,11581.00
Harley-Davidson Street 750,Harley-Davidson,2017,Petrol,17635,883,3577.00
Ather 450S,Ather,2023,Electric,12554,0,1312.00
Ola S1 Pro Gen 2,Ola,2021,Electric,16493,0,920.00
Bajaj Pulsar 150,Bajaj,2021,Petrol,23218,155,1106.00
Ather 450X Gen 3,Ather,2020,Electric,5154,0,1010.00
Kawasaki Ninja 400,Kawasaki,2021,Petrol,65586,1000,10082.00
Suzuki Gixxer SF 150,Suzuki,2022,Petrol,31253,160,978.00
Honda Hness CB350,Honda,2021,Petrol,21282,300,2613.00
Harley-Davidson Street 750,Harley-Davidson,2023,Petrol,2735,750,7654.00
Hero Xpulse 200,Hero,2019,Petrol,28032,250,1155.00
KTM Duke 200,KTM,2020,Petrol,16963,250,1395.00
Honda CBR500R,Honda,2018,Petrol,49952,1000,7045.00
Ola S1 Air,Ola,2017,Electric,11256,0,614.00
Yamaha Aerox 155,Yamaha,2021,Petrol,68441,150,791.00
KTM Duke 200,KTM,2020,Petrol,12677,200,1357.00
Ather 450S,Ather,2015,Electric,11173,0,474.00
Royal Enfield Meteor 350,Royal Enfield,2018,Petrol,22141,399,1801.00
Hero Maestro Edge,Hero,2022,Petrol,61309,1340,11442.00
TVS Ntorq 125,TVS,2015,Petrol,34143,110,307.00
KTM Adventure 390,KTM,2019,Petrol,43195,399,2006.00
Ola S1 Air,Ola,2022,Electric,9952,0,1236.00
Hero Splendor Plus,Hero,2019,Petrol,6240,125,407.00
Hero HF Deluxe,Hero,2021,Petrol,48550,1000,10767.00
Harley-Davidson Street 750,Harley-Davidson,2017,Petrol,16828,750,3531.00
Harley-Davidson Fat Boy,Harley-Davidson,2021,Petrol,53357,1340,10572.00
KTM RC 390,KTM,2018,Petrol,31361,350,1748.00
Royal Enfield Himalayan 411,Royal Enfield,2018,Petrol,55679,1340,6834.00
Bajaj Avenger Cruise 220,Bajaj,2020,Petrol,15322,200,1441.00
Suzuki Burgman Street,Suzuki,2023,Petrol,10069,1000,14783.00
Bajaj Avenger Cruise 220,Bajaj,2023,Petrol,40611,200,1593.00
TVS Jupiter,TVS,2021,Petrol,4587,125,650.00
Harley-Davidson Iron 883,Harley-Davidson,2018,Petrol,43603,750,3761.00
TVS Apache RTR 160,TVS,2019,Petrol,68778,160,639.00
Ola S1 Pro Gen 2,Ola,2019,Electric,7303,0,736.00
Yamaha Aerox 155,Yamaha,2019,Petrol,45268,155,671.00
Harley-Davidson Fat Boy,Harley-Davidson,2017,Petrol,25702,1340,6765.00
Honda 110,Honda,2018,Petrol,70,110,413.00
